BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1512743775123775e8,1.4288445343044182e7,-1.688143353384236e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1253444956043947e8
t1,10735.858460164956,0.0,-500.8584601649577,0.0,0.0,0.0,0.0,0.0,0.0,-10235.0
t2,11490.350967955208,0.0,-1793.3509679552096,0.0,0.0,0.0,0.0,0.0,0.0,-9697.0
t3,6698.238852961643,2731.7611470383567,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9430.0
t4,7459.083023533826,1889.9169764661738,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9349.0
t5,8892.307647120022,664.6923528799789,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9557.0
t6,8220.640804242987,2022.3591957570147,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10243.0
t7,6760.946836008821,5109.053163991178,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11870.0
t8,7336.0,6000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13336.0
t9,10933.303574384916,3191.696425615086,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14125.0
t10,16850.35609290862,0.0,-2173.356092908618,0.0,0.0,0.0,0.0,0.0,0.0,-14677.0
t11,18736.770401231563,1184.6147993842183,-4815.385200615782,0.0,0.0,0.0,0.0,0.0,0.0,-15106.0
t12,11908.688337090334,4730.655831454833,-1269.3441685451673,0.0,0.0,0.0,0.0,0.0,0.0,-15370.0
t13,21515.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15515.0
t14,21656.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15656.0
t15,10490.784982390996,5583.607508804502,-416.39249119549856,0.0,0.0,0.0,0.0,0.0,0.0,-15658.0
t16,9667.0,6000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15667.0
t17,21683.999999999996,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15684.0
t18,17036.059555359694,2255.470222320152,-3744.529777679848,0.0,0.0,0.0,0.0,0.0,0.0,-15547.0
t19,17663.088287540802,1727.955856229598,-4272.044143770402,0.0,0.0,0.0,0.0,0.0,0.0,-15119.0
t20,13000.616951431528,3885.1915242842365,-2114.8084757157635,0.0,0.0,0.0,0.0,0.0,0.0,-14771.0
t21,10942.737869969187,4949.631065015406,-1050.3689349845936,0.0,0.0,0.0,0.0,0.0,0.0,-14842.0
t22,16839.228680634234,1724.3856596828823,-4275.614340317117,0.0,0.0,0.0,0.0,0.0,0.0,-14288.0
t23,18654.137609500394,71.43119524980257,-5928.568804750197,0.0,0.0,0.0,0.0,0.0,0.0,-12797.0
t24,16372.923629955714,495.03818502214347,-5504.961814977856,0.0,0.0,0.0,0.0,0.0,0.0,-11363.0
t25,16433.999999999996,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-10434.0
t26,15866.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-9866.0
t27,15599.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-9599.0
t28,4466.663384382601,5513.1683078087,-486.8316921913004,0.0,0.0,0.0,0.0,0.0,0.0,-9493.0
t29,3726.000000000001,6000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9726.0
t30,5509.411049255709,5435.294475372146,-564.7055246278541,0.0,0.0,0.0,0.0,0.0,0.0,-10380.0
t31,6804.991454358971,5607.504272820514,-392.49572717948575,0.0,0.0,0.0,0.0,0.0,0.0,-12020.0
t32,12297.884117291062,3583.0579413544688,-2416.9420586455312,0.0,0.0,0.0,0.0,0.0,0.0,-13464.0
t33,11860.04946307856,4183.975268460718,-1816.0247315392808,0.0,0.0,0.0,0.0,0.0,0.0,-14228.0
t34,15811.073553786762,2446.963223106618,-3553.036776893382,0.0,0.0,0.0,0.0,0.0,0.0,-14705.0
t35,19844.698295752467,632.6508521237662,-5367.3491478762335,0.0,0.0,0.0,0.0,0.0,0.0,-15110.0
t36,21328.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15328.0
t37,19163.95100718344,1131.5244964082797,-4868.475503591721,0.0,0.0,0.0,0.0,0.0,0.0,-15427.0
t38,21608.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15608.0
t39,21570.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15570.0
t40,19044.012510265704,1221.4937448671462,-4778.506255132854,0.0,0.0,0.0,0.0,0.0,0.0,-15487.0
t41,13975.59030992596,1478.409690074044,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15454.0
t42,12134.614848297526,3175.385151702475,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15310.0
t43,20500.339841418383,0.0,-5498.339841418382,0.0,0.0,0.0,0.0,0.0,0.0,-15002.0
t44,14807.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14807.0
t45,14898.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14898.0
t46,14245.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14245.0
t47,9927.85065002433,2911.1493499756707,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12839.0
t48,10275.056392448954,1222.9436075510448,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11498.0
t49,10652.244764070128,0.0,-47.24476407012767,0.0,0.0,0.0,0.0,0.0,0.0,-10605.0
t50,10503.244909416195,0.0,-406.2449094161953,0.0,0.0,0.0,0.0,0.0,0.0,-10097.0
t51,10191.231823549617,0.0,-368.23182354961625,0.0,0.0,0.0,0.0,0.0,0.0,-9823.0
t52,13797.603830854785,0.0,-4062.603830854785,0.0,0.0,0.0,0.0,0.0,0.0,-9735.0
t53,9928.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9928.0
t54,10692.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10692.0
t55,12007.555636264726,254.444363735274,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12262.0
t56,13731.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13731.0
t57,14422.999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14423.0
t58,14257.92732854025,560.072671459749,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14818.0
t59,13532.465691932417,1590.534308067582,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15123.0
t60,13984.137439172606,1275.8625608273908,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15260.0
t61,12858.55445933694,2381.4455406630605,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15240.0
t62,12687.65761812623,2583.3423818737733,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15271.0
t63,11976.75377525812,3179.246224741881,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15156.0
t64,10852.130969100604,4188.8690308993955,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15041.0
t65,9270.953464676459,5800.04653532354,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15071.0
t66,10030.103365462772,5029.896634537231,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15060.0
t67,13709.809338218565,1121.1906617814336,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14831.0
t68,14603.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14603.0
t69,14840.673729238815,0.0,-208.67372923881678,0.0,0.0,0.0,0.0,0.0,0.0,-14632.0
t70,14006.378555572266,176.62144442773453,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14183.0
t71,18825.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-12825.0
t72,7301.2,5078.400000000001,-921.5999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-11458.0
t73,15099.39185773283,705.8040711335849,-5294.195928866415,0.0,0.0,0.0,0.0,0.0,0.0,-10511.0
t74,7481.306857269727,4238.346571365138,-1761.6534286348626,0.0,0.0,0.0,0.0,0.0,0.0,-9958.0
t75,15615.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-9615.0
t76,15509.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-9509.0
t77,15689.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-9689.0
t78,16367.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-10367.0
t79,11565.442223341197,3177.778888329401,-2822.221111670599,0.0,0.0,0.0,0.0,0.0,0.0,-11921.0
t80,10827.735176185768,4265.132411907116,-1734.8675880928845,0.0,0.0,0.0,0.0,0.0,0.0,-13358.0
t81,16715.25157145467,1694.3742142726626,-4305.625785727338,0.0,0.0,0.0,0.0,0.0,0.0,-14104.0
t82,18882.406000155144,826.2969999224285,-5173.703000077571,0.0,0.0,0.0,0.0,0.0,0.0,-14535.0
t83,18925.269028227085,979.8654858864566,-5020.134514113543,0.0,0.0,0.0,0.0,0.0,0.0,-14885.0
t84,16247.190216645586,2394.4048916772076,-3605.5951083227924,0.0,0.0,0.0,0.0,0.0,0.0,-15036.0
t85,15588.133448873483,2750.4332755632586,-3249.5667244367414,0.0,0.0,0.0,0.0,0.0,0.0,-15089.0
t86,15207.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15207.0
t87,15245.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15245.0
t88,15176.574891972821,83.42510802717949,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15260.0
t89,12304.958856088662,2977.041143911337,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15282.0
t90,9300.65372693938,5866.346273060621,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15167.0
t91,9275.146923176158,5536.85307682384,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14812.0
t92,14475.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14475.0
t93,14512.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14512.0
t94,11299.185441640791,2908.814558359209,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14208.0
t95,9797.371295646222,3025.628704353779,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12823.0
t96,11406.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11406.0
t97,10407.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10407.0
t98,7280.027137947648,2501.9728620523506,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9782.0
t99,5809.284453479286,3641.7155465207143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9451.0
t100,7907.84635919873,1423.1536408012682,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9331.0
t101,9487.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9487.0
t102,16030.000000000002,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-10030.0
t103,11540.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11540.0
t104,9962.863366981985,3038.1366330180153,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13001.0
t105,12089.203161104779,1799.7968388952215,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13889.0
t106,14470.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14470.0
t107,16252.567231638131,0.0,-1345.5672316381335,0.0,0.0,0.0,0.0,0.0,0.0,-14907.0
t108,18343.93786141888,0.0,-3227.9378614188818,0.0,0.0,0.0,0.0,0.0,0.0,-15116.0
t109,18964.481883390377,0.0,-3785.4818833903787,0.0,0.0,0.0,0.0,0.0,0.0,-15179.0
t110,19824.98154511426,0.0,-4521.9815451142595,0.0,0.0,0.0,0.0,0.0,0.0,-15303.0
t111,18287.879103473562,0.0,-2984.8791034735596,0.0,0.0,0.0,0.0,0.0,0.0,-15303.0
t112,15266.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15266.0
t113,14483.718848918179,746.2811510818223,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15230.0
t114,10898.281953015161,4110.71804698484,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15009.0
t115,10645.858293642512,3897.1417063574886,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14543.0
t116,18746.159485612112,0.0,-4644.159485612109,0.0,0.0,0.0,0.0,0.0,0.0,-14102.0
t117,13776.418485257722,248.58151474227952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14025.0
t118,19287.848288225192,0.0,-5522.848288225193,0.0,0.0,0.0,0.0,0.0,0.0,-13765.0
t119,18591.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-12591.0
t120,12065.275457931106,0.0,-770.2754579311062,0.0,0.0,0.0,0.0,0.0,0.0,-11295.0
t121,9446.894146283179,834.1058537168217,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10281.0
t122,9336.788246135375,334.21175386462465,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9671.0
t123,7740.1783917744515,1587.821608225548,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9328.0
t124,5610.776723701623,3527.2232762983763,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9138.0
t125,4587.706285216144,4505.293714783856,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9093.0
t126,9245.684137723694,0.0,-141.68413772369482,0.0,0.0,0.0,0.0,0.0,0.0,-9104.0
t127,7038.615755030495,2694.3842449695053,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9733.0
t128,6468.396960336185,4356.603039663813,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10825.0
t129,10711.407971234266,1282.5920287657364,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11994.0
t130,12972.295620752468,0.0,-183.2956207524674,0.0,0.0,0.0,0.0,0.0,0.0,-12789.0
t131,15148.054988985446,155.14141340488843,-2087.196402390335,0.0,0.0,0.0,0.0,0.0,0.0,-13216.0
t132,16099.015221765136,1635.4923891174326,-4364.507610882567,0.0,0.0,0.0,0.0,0.0,0.0,-13370.0
t133,17880.481269537606,743.7593652311989,-5256.240634768801,0.0,0.0,0.0,0.0,0.0,0.0,-13368.0
t134,16125.476384302936,1560.7618078485332,-4439.238192151467,0.0,0.0,0.0,0.0,0.0,0.0,-13247.0
t135,11387.854549575342,3874.572725212329,-2125.427274787671,0.0,0.0,0.0,0.0,0.0,0.0,-13137.0
t136,19109.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-13109.0
t137,19150.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-13150.0
t138,19182.000000000004,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-13182.0
t139,19020.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-13020.0
t140,13275.133448873486,2750.4332755632586,-3249.5667244367414,0.0,0.0,0.0,0.0,0.0,0.0,-12776.0
t141,12870.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12870.0
t142,12730.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12730.0
t143,8018.226456412474,3806.7735435875265,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11825.0
t144,5877.158308930648,4844.841691069351,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10722.0
t145,5513.404637634792,4343.595362365207,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9857.0
t146,5469.270911356994,3844.729088643007,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9314.0
t147,5459.328634178563,3530.671365821437,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8990.0
t148,5733.393395590106,3065.6066044098934,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8799.0
t149,5886.994777362904,2873.005222637097,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8760.0
t150,8201.23459844691,488.76540155308834,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8690.0
t151,7857.037366176299,1166.9626338236992,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9024.0
t152,9836.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9836.0
t153,10869.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10869.0
t154,11945.392717125327,0.0,-286.392717125328,0.0,0.0,0.0,0.0,0.0,0.0,-11659.0
t155,13621.914017318642,242.40279577487763,-1722.3168130935214,0.0,0.0,0.0,0.0,0.0,0.0,-12142.0
t156,13945.22775865761,1457.7689506023567,-2983.996709259965,0.0,0.0,0.0,0.0,0.0,0.0,-12419.0
t157,15688.145254131883,1423.9273729340587,-4576.072627065942,0.0,0.0,0.0,0.0,0.0,0.0,-12536.0
t158,15133.433677176892,1669.2831614115526,-4330.716838588447,0.0,0.0,0.0,0.0,0.0,0.0,-12472.0
t159,15460.775978378453,1486.112010810773,-4513.887989189227,0.0,0.0,0.0,0.0,0.0,0.0,-12433.0
t160,17751.515678881995,360.2421605590029,-5639.7578394409975,0.0,0.0,0.0,0.0,0.0,0.0,-12472.0
t161,12642.929269605986,2988.035365197006,-3011.964634802994,0.0,0.0,0.0,0.0,0.0,0.0,-12619.0
t162,15210.041921087733,1780.9790394561337,-4219.020960543866,0.0,0.0,0.0,0.0,0.0,0.0,-12772.0
t163,18740.000000000004,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-12740.0
t164,16551.965883438173,1043.5170582809112,-4956.482941719089,0.0,0.0,0.0,0.0,0.0,0.0,-12639.0
t165,15844.954883475712,1524.5225582621442,-4475.477441737856,0.0,0.0,0.0,0.0,0.0,0.0,-12894.0
t166,15834.135308234609,1449.9323458826955,-4550.067654117304,0.0,0.0,0.0,0.0,0.0,0.0,-12734.0
t167,8266.257710809454,3367.7422891905467,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11634.0
t168,5525.451777067147,4929.548222932853,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10455.0
t169,8170.0,6000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14170.0
t170,11771.47213154423,1719.5278684557697,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13491.0
t171,12410.700081121682,645.299918878317,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13056.0
t172,12827.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12827.0
t173,12915.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12915.0
t174,13504.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13504.0
t175,11839.637009682881,3077.362990317119,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14917.0
t176,15633.735922455995,1156.2640775440034,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16790.0
t177,16378.6065068931,1866.3934931069025,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18245.0
t178,18905.00865191454,508.9913480854582,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19414.0
t179,22795.878907256305,0.0,-2353.8789072563045,0.0,0.0,0.0,0.0,0.0,0.0,-20442.0
t180,23340.9012745015,0.0,-2070.901274501497,0.0,0.0,0.0,0.0,0.0,0.0,-21270.0
t181,27907.000000000004,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-21907.0
t182,25293.693485464795,0.0,-2836.693485464795,0.0,0.0,0.0,0.0,0.0,0.0,-22457.0
t183,26088.07041693044,0.0,-3514.070416930438,0.0,0.0,0.0,0.0,0.0,0.0,-22574.0
t184,23427.971884921186,0.0,-808.971884921184,0.0,0.0,0.0,0.0,0.0,0.0,-22619.0
t185,21120.64093020446,1455.359069795544,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22576.0
t186,23651.301571004802,0.0,-1242.3015710048016,0.0,0.0,0.0,0.0,0.0,0.0,-22409.0
t187,18172.58579611542,3714.4142038845816,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21887.0
t188,15969.662441473274,5230.337558526726,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21200.0
t189,14931.000000000002,6000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20931.0
t190,18781.719022668916,1317.2809773310814,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20099.0
t191,16002.739856535072,2176.2601434649246,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18179.0
t192,12716.547262855147,3563.4527371448557,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16280.000000000002
t193,14935.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14935.0
t194,17453.12206911909,0.0,-3391.1220691190892,0.0,0.0,0.0,0.0,0.0,0.0,-14062.0
t195,19497.999999999996,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-13498.0
t196,13146.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13146.0
t197,15575.396911019096,0.0,-2397.3969110190947,0.0,0.0,0.0,0.0,0.0,0.0,-13178.0
t198,17521.58146401634,0.0,-3809.58146401634,0.0,0.0,0.0,0.0,0.0,0.0,-13712.0
t199,16051.62529216782,0.0,-859.6252921678196,0.0,0.0,0.0,0.0,0.0,0.0,-15192.0
t200,12637.746500760695,4476.253499239305,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17114.0
t201,18656.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18656.0
t202,19119.767293562505,900.2327064374978,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20020.0
t203,16980.986464502945,4220.013535497056,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21201.0
t204,16009.0,6000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22009.0
t205,22769.97927413598,0.0,-202.97927413598083,0.0,0.0,0.0,0.0,0.0,0.0,-22567.0
t206,25880.822361845007,0.0,-2810.822361845004,0.0,0.0,0.0,0.0,0.0,0.0,-23070.0
t207,29388.000000000004,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-23388.0
t208,29629.000000000004,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,-23629.0
t209,25741.486727497515,0.0,-1971.486727497516,0.0,0.0,0.0,0.0,0.0,0.0,-23770.0
t210,18365.319311748182,5209.680688251817,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23575.0
t211,23034.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23034.0
t212,16325.0,6000.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22325.0
t213,19020.515068470686,2900.4849315293127,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21921.0
t214,21122.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21122.0
t215,18817.921859427515,493.0781405724874,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19311.0
t216,23388.406373092505,0.0,-5874.4063730925045,0.0,0.0,0.0,0.0,0.0,0.0,-17514.0
t217,22140.473340662986,54.76332966850794,-5945.236670331492,0.0,0.0,0.0,0.0,0.0,0.0,-16250.0
