Region,Gen Cost [Million $],Interregional [Million $],Network Expansion [Million $],Deprec Costs [mills/kWh],Return on Equity and Debt [mills/kWh],Distribution [mills/kWh],Transmission [mills/kWh],Tax Rate [%],Generation [kWh],Dist Loss [%],Total Gen Costs [$],Total Gen Costs [mills/kWh],Total Costs [mills/kWh]
WECC_ID,3069.6301391383463,-4.628117977159922,0.465031404639171,6.777366651982903,11.092326390644164,31.57094,16.07893,5.999324743321685,118133714720.49226,9.354702657,3065467052.565826,28.62711048908679,96.93616777084563
WECC_UT,3069.6301391383463,-4.628117977159922,0.465031404639171,7.342102110387028,11.891118450563457,31.57094,16.07893,5.999854106031903,118133714720.49226,9.354702657,3065467052.565826,28.62711048908679,98.38175108770339
WECC_NNV,3069.6301391383463,-4.628117977159922,0.465031404639171,3.2051388023742113,6.609007369310842,31.57094,16.07893,6.999358514020464,118133714720.49226,9.354702657,3065467052.565826,28.62711048908679,88.78176803175403
WECC_SNV,3069.6301391383463,-4.628117977159922,0.465031404639171,11.633802835288712,13.791791236001641,31.57094,16.07893,6.999942905620816,118133714720.49226,9.354702657,3065467052.565826,28.62711048908679,105.48623301854744
WEC_CALN,3077.5971114299646,66.23678923546845,0.0796402364653096,4.1378913375520545,6.276553488630742,64.41951,19.50844,6.999999999999999,118257134698.12431,7.176625591,3143913540.9018984,28.64084914863092,125.71711455305069
WEC_BANC,3077.5971114299646,66.23678923546845,0.0796402364653096,5.184538780380915,7.003518281732092,64.41951,19.50844,7.0,118257134698.12431,7.176625591,3143913540.9018984,28.64084914863092,127.61487964549602
WECC_SCE,4340.253922343607,486.16414719845807,0.2893618884082456,5.856360136127083,5.902939840074049,74.22089,23.25981,6.999998754617411,188154700658.16974,7.874794069,4826707431.430473,27.84565452602237,139.85800082414593
WEC_LADW,4340.253922343607,486.16414719845807,0.2893618884082456,5.559364867463608,8.831061516491486,74.22089,23.25981,7.0,188154700658.16974,7.874794069,4826707431.430473,27.84565452602237,142.67330657367592
WECC_SDGE,4340.253922343607,486.16414719845807,0.2893618884082456,5.184538780380915,7.003518281732092,74.22089,23.25981,7.0,188154700658.16974,7.874794069,4826707431.430473,27.84565452602237,140.31677139930486
FRCC,9417.439088062609,34.782300005276376,0.07923973667391557,4.487925974846209,12.40638877300341,31.54133,11.38343,5.999939372083589,272546227001.66678,7.415942577,9452300627.804558,37.4594280518722,100.53969441416338
NENG_ME,6794.057866249089,121.57119153232333,325.56958671633737,12.755196706288155,27.640872586271556,74.02329,45.63132,5.997505935793758,160828064692.8474,4.645172013,7241198644.49775,47.21782067346908,212.5231482173212
NENGREST,6794.057866249089,121.57119153232333,325.56958671633737,1.9827290151631727,4.740769397572133,74.02329,45.63132,5.012716046597781,160828064692.8474,4.645172013,7241198644.49775,47.21782067346908,176.2998542437851
NENG_CT,6794.057866249089,121.57119153232333,325.56958671633737,2.6836225729279968,7.276389651578545,74.02329,45.63132,5.999342817289057,160828064692.8474,4.645172013,7241198644.49775,47.21782067346908,180.26273710902188
MIS_IL,6648.820701207751,216.55605318881942,52.15384133920061,2.8093242947316903,4.7460256438642965,28.930539999999997,11.39203,5.991807935838811,193061552092.05237,5.463504179,6917530595.735771,37.90144737456821,88.50305130195252
MIS_MO,6648.820701207751,216.55605318881942,52.15384133920061,7.834483426191209,13.177958092155665,28.930539999999997,11.39203,4.021918865979004,193061552092.05237,5.463504179,6917530595.735771,37.90144737456821,101.60592770498114
S_D_AECI,6648.820701207751,216.55605318881942,52.15384133920061,4.095192091101651,7.813212568913002,28.930539999999997,11.39203,4.002119387894254,193061552092.05237,5.463504179,6917530595.735771,37.90144737456821,92.12587177994034
MIS_INKY,6648.820701207751,216.55605318881942,52.15384133920061,1.769751320393593,2.929126144218385,28.930539999999997,11.39203,6.934969928336487,193061552092.05237,5.463504179,6917530595.735771,37.90144737456821,85.877214556151
MIS_LMI,3664.378543970133,27.815822296381985,0.4151251425375573,5.433302318786626,9.871131681361295,35.980560000000004,19.25498,6.0,111178999472.70468,8.291408669,3692609491.4090524,36.21600968650531,109.84721030785242
MIS_AMSO,6820.198735877693,-518.0482415026469,149.90364781303634,2.6908896675018634,4.4315701940807655,24.0929,15.1478,4.000998396305473,201930778876.77072,8.067983004,6452054142.188083,34.755912405005255,82.7946252693729
MIS_WOTA,6820.198735877693,-518.0482415026469,149.90364781303634,1.5827662612749809,2.516652521472995,24.0929,15.1478,5.580680817643581,201930778876.77072,8.067983004,6452054142.188083,34.755912405005255,80.26442320198007
MIS_LA,6820.198735877693,-518.0482415026469,149.90364781303634,2.2142303614078043,3.5954251662436674,24.0929,15.1478,4.001116322800429,201930778876.77072,8.067983004,6452054142.188083,34.755912405005255,81.42934349264695
MIS_AR,6820.198735877693,-518.0482415026469,149.90364781303634,2.1839928903020165,3.5856017475384556,24.0929,15.1478,6.999694567213654,201930778876.77072,8.067983004,6452054142.188083,34.755912405005255,82.60286875765958
MIS_D_MS,6820.198735877693,-518.0482415026469,149.90364781303634,2.3756393836947165,4.4306012990116415,24.0929,15.1478,6.997826581,201930778876.77072,8.067983004,6452054142.188083,34.755912405005255,83.71130048411942
MIS_MAPP,6846.083343290099,302.64262281959947,0.5589904837449178,8.665681332240853,13.541742907141348,28.31759,19.47875,4.465840429711045,243650364099.2873,5.378630236,7149284956.593444,31.01032459196879,103.39070857444355
MIS_WUMS,6846.083343290099,302.64262281959947,0.5589904837449178,3.238234088947142,6.620431783540974,28.31759,19.47875,5.054869860375383,243650364099.2873,5.378630236,7149284956.593444,31.01032459196879,90.73120474568444
MIS_MNWI,6846.083343290099,302.64262281959947,0.5589904837449178,2.1916205500664194,4.256588462286841,28.31759,19.47875,6.644518554,243650364099.2873,5.378630236,7149284956.593444,31.01032459196879,87.74381281971756
MIS_IA,6846.083343290099,302.64262281959947,0.5589904837449178,4.14452228067591,7.486201576241924,28.31759,19.47875,6.032170011065117,243650364099.2873,5.378630236,7149284956.593444,31.01032459196879,93.0095689858241
MIS_MIDA,6846.083343290099,302.64262281959947,0.5589904837449178,5.92034548107291,11.337452624371545,28.31759,19.47875,5.999735404,243650364099.2873,5.378630236,7149284956.593444,31.01032459196879,98.96042234373611
WECC_PNW,3705.401624204437,52.820033072129974,0.5684511460503369,5.233574191816557,4.834991111712301,33.93541,16.99607,4.562665031,218273244154.53613,9.793304524,3758790108.422618,19.090126150280287,81.42058487226929
WECC_MT,3705.401624204437,52.820033072129974,0.5684511460503369,9.553669555383802,15.87984584773868,33.93541,16.99607,0.000680218,218273244154.53613,9.793304524,3758790108.422618,19.090126150280287,95.45542441122686
NY_Z_J,2600.7934162907986,654.5285447921128,17.47160848408814,0.07027434892271632,33.79448815631179,127.80903,40.35999,4.0,55954792624.948814,7.753973739,3272793569.5669994,63.406481710573225,269.33111398444004
NY_Z_K,2600.7934162907986,654.5285447921128,17.47160848408814,2.336456327449589,9.558474904924761,127.80903,40.35999,4.0,55954792624.948814,7.753973739,3272793569.5669994,63.406481710573225,246.4824894606655
NY_Z_A,3344.1172053326827,-1228.7631730185353,585.3245315955281,3.7576021990500665,5.491453271235017,61.28957,23.291110000000003,4.0,150199820507.2715,6.622839055,2700678563.9096756,19.2558554987123,114.22578740775728
NY_Z_B,3344.1172053326827,-1228.7631730185353,585.3245315955281,1.7684937097750704,3.467795845278926,61.28957,23.291110000000003,4.0,150199820507.2715,6.622839055,2700678563.9096756,19.2558554987123,110.05251085591695
NY_Z_C&E,3344.1172053326827,-1228.7631730185353,585.3245315955281,3.7576021990500665,5.491453271235017,61.28957,23.291110000000003,4.000162783054087,150199820507.2715,6.622839055,2700678563.9096756,19.2558554987123,114.22583380892192
NY_Z_D,3344.1172053326827,-1228.7631730185353,585.3245315955281,4.617822548408449,5.734989098166697,61.28957,23.291110000000003,4.000408810639405,150199820507.2715,6.622839055,2700678563.9096756,19.2558554987123,115.37381487448042
NY_Z_F,3344.1172053326827,-1228.7631730185353,585.3245315955281,2.3143092682397293,5.614565298481588,61.28957,23.291110000000003,4.001083899691043,150199820507.2715,6.622839055,2700678563.9096756,19.2558554987123,112.85309392325615
NY_Z_G-I,3344.1172053326827,-1228.7631730185353,585.3245315955281,0.06909001870102735,7.31457939376429,61.28957,23.291110000000003,4.005992072932316,150199820507.2715,6.622839055,2700678563.9096756,19.2558554987123,112.28738216738623
PJM_COMD,4564.691999878325,-191.4182227460877,0.02203464678197816,3.068180647166639,6.70536889771331,31.19828,14.322,6.000093063550203,133952133193.32901,6.110940224,4373295811.779019,34.773165704340194,92.73983962092807
PJM_Dom,3342.165764364732,772.9078676921739,59.61934214252746,3.16024546204433,5.662093250648036,26.17129,9.33398,5.001209718757036,94743363446.15614,5.757152826,4174692974.199434,46.75492282848997,93.86206694679896
PJM_WMAC,10626.025709841299,-241.65441612801584,336.8519345162471,1.4871518843692833,2.72830242299237,51.36842,23.70478,6.000211152393088,314929506683.56165,6.742448387,10721223228.22953,36.504548090641805,118.2364885231432
PJM_EMAC,10626.025709841299,-241.65441612801584,336.8519345162471,0.06953434331269878,9.999553206086933,51.36842,23.70478,6.185994428162066,314929506683.56165,6.742448387,10721223228.22953,36.504548090641805,124.52787814572689
PJM_SMAC,10626.025709841299,-241.65441612801584,336.8519345162471,10.516136535292741,16.31957019181362,51.36842,23.70478,5.999409959508189,314929506683.56165,6.742448387,10721223228.22953,36.504548090641805,142.21349637366203
PJM_PENE,10626.025709841299,-241.65441612801584,336.8519345162471,1.5581466217495052,3.045271803130261,51.36842,23.70478,5.997069438190592,314929506683.56165,6.742448387,10721223228.22953,36.504548090641805,118.64643981208553
PJM_West,9753.379792305817,-659.1500351312588,0.15336675608679048,1.4054993211697826,2.5714864158278656,32.83377,16.77266,5.561157928062762,357743601644.75397,6.540039508,9094383123.930645,27.200430515753037,82.51767160845566
PJM_AP,9753.379792305817,-659.1500351312588,0.15336675608679048,3.429984457091824,5.594949291712389,32.83377,16.77266,5.917177378219937,357743601644.75397,6.540039508,9094383123.930645,27.200430515753037,87.9753133239974
PJM_ATSI,9753.379792305817,-659.1500351312588,0.15336675608679048,2.15857172696395,3.557888835393065,32.83377,16.77266,6.000006183957234,357743601644.75397,6.540039508,9094383123.930645,27.200430515753037,84.49833657836314
WECC_CO,3581.2782718812387,-374.0369013750179,53.55834171196031,6.8231082614414875,11.408806822123385,31.6264,15.245759999999999,3.000056298982848,127882587841.30733,6.550539745,3260799712.218181,27.285750935335944,93.75538162545082
WECC_WY,3581.2782718812387,-374.0369013750179,53.55834171196031,13.014935689748713,19.757110525653392,31.6264,15.245759999999999,4.009471224402866,127882587841.30733,6.550539745,3260799712.218181,27.285750935335944,109.33795724550716
SPP_N,2621.6537876935486,165.27471805620561,83.17703471294483,3.523608386853648,6.596588201492729,32.26433,18.03148,5.658537317256339,82896655480.9885,8.090490798,2870105540.462699,37.67041555364897,100.7906717641954
SPP_WAUE,3459.440389744799,-196.01127320023295,23.81256155534276,6.03624409689625,10.879187933383145,25.73347,14.437180000000001,4.483243329716188,119188904949.71355,7.460398569,3287241678.099909,29.803562545918595,88.98417078424585
SPP_NEBR,3459.440389744799,-196.01127320023295,23.81256155534276,15.290843099261,34.30898753584656,25.73347,14.437180000000001,6.001916750585737,119188904949.71355,7.460398569,3287241678.099909,29.803562545918595,124.33976873689163
SPP_WEST,4327.863556115245,-702.5635115924282,336.30904164056625,1.1517253992770264,1.9120764278809286,30.61232,15.222739999999998,5.398191878224379,193319887466.4519,7.758965471,3961609086.163383,22.216258511401143,72.47978650256542
SPP_SPS,4327.863556115245,-702.5635115924282,336.30904164056625,2.109937562790305,3.461260910374704,30.61232,15.222739999999998,5.687060554278364,193319887466.4519,7.758965471,3961609086.163383,22.216258511401143,75.20280648977248
S_VACA,9031.787687951017,208.41067530078558,0.02099977295002438,2.731676045621776,5.479442427345386,29.46702,11.27045,5.326642097283643,228529958253.00153,5.950063479,9240219363.024754,42.99130560699719,94.66726395583741
S_SOU,8677.018784880254,659.1291531207386,0.11365361550693487,2.759864344499415,7.226841285839791,29.27464,13.69079,4.224141281040543,235797130763.44427,6.642341494,9336261591.616499,42.41158906520218,97.57710269233701
S_C_TVA,7715.32945914446,258.07684979606944,0.11544598796164739,1.956182422037092,4.399557222268947,20.48344,11.390830000000001,6.429026987,223201713480.49442,4.987905177,7973521754.928492,37.59878108023611,78.65463872392948
S_C_KY,7715.32945914446,258.07684979606944,0.11544598796164739,2.880476223102181,4.799338026206411,20.48344,11.390830000000001,5.998518253773699,223201713480.49442,4.987905177,7973521754.928492,37.59878108023611,79.86891013543976
WECC_IID,3914.7472892755773,161.7496013057453,297.6548102079112,9.101949634204473,11.811822283031068,32.883610000000004,14.62816,6.999940337517891,142612483953.7975,8.123730667,4374151700.789233,33.38358280323682,105.60990715575589
WECC_AZ,3914.7472892755773,161.7496013057453,297.6548102079112,4.359349193100516,5.604507621141591,32.883610000000004,14.62816,6.000279930954256,142612483953.7975,8.123730667,4374151700.789233,33.38358280323682,93.46017733742903
WECC_NM,3914.7472892755773,161.7496013057453,297.6548102079112,3.4108091609100795,7.04968953110917,32.883610000000004,14.62816,5.315947342437789,142612483953.7975,8.123730667,4374151700.789233,33.38358280323682,93.68657978031938
ERC_REST,14368.694764376763,-72.39247674091871,110.60294652871494,1.2999442796771692,2.087829891610101,17.486530000000002,21.870910000000002,5.999955717203583,530831916102.6881,4.162554339,14406905234.16456,28.319034505329178,72.9666431565519
ERC_PHDL,14368.694764376763,-72.39247674091871,110.60294652871494,4.820328230376782,11.069789002862269,17.486530000000002,21.870910000000002,6.0,530831916102.6881,4.162554339,14406905234.16456,28.319034505329178,86.21914084288233
ERC_WEST,14368.694764376763,-72.39247674091871,110.60294652871494,2.5552053224269904,4.1043241893532,17.486530000000002,21.870910000000002,5.999581563196723,530831916102.6881,4.162554339,14406905234.16456,28.319034505329178,76.43457149495083
