Region,Marginal Energy Cost [mills/kWh],Reliability Cost [mills/kWh],REC Cost [mills/kWh],Tax Rate [%],Transmission [mills/kWh],Distribution [mills/kWh],Marginal Energy Cost and Reliability Cost [mills/kWh],Competitive Generation Cost [mills/kWh],Final Cost [mills/kWh]
WECC_ID,26.511937218864542,14.969536552278004,7.266925790724493e-06,5.999324743321685,16.087450136789926,31.57094,41.48147377114255,43.97008979388146,91.62847993067139
WECC_UT,26.511937218864542,14.969536552278004,7.266925790724493e-06,5.999854106031903,16.087450136789926,31.57094,41.48147377114255,43.970309381373724,91.62869951816364
WECC_NNV,26.511937218864542,14.969536552278004,7.266925790724493e-06,6.999358514020464,16.087450136789926,31.57094,41.48147377114255,44.38491861284816,92.04330874963809
WECC_SNV,26.511937218864542,14.969536552278004,7.266925790724493e-06,6.999942905620816,16.087450136789926,31.57094,41.48147377114255,44.38516102713904,92.04355116392897
WEC_CALN,28.213764280087783,16.474711916400615,8.518330135602446e-06,6.999999999999999,19.514232679544595,64.41951,44.688476196488395,47.81667864485583,131.75042132440043
WEC_BANC,28.213764280087783,16.474711916400615,8.518330135602446e-06,7.0,19.514232679544595,64.41951,44.688476196488395,47.81667864485583,131.75042132440043
WECC_SCE,28.112202462951732,14.34306422547102,1.5270557021695477e-05,6.999998754617411,23.271380053784803,74.22089,42.45526668842275,45.427151167377666,142.91942122116248
WEC_LADW,28.112202462951732,14.34306422547102,1.5270557021695477e-05,7.0,23.271380053784803,74.22089,42.45526668842275,45.42715169610836,142.91942174989316
WECC_SDGE,28.112202462951732,14.34306422547102,1.5270557021695477e-05,7.0,23.271380053784803,74.22089,42.45526668842275,45.42715169610836,142.91942174989316
FRCC,29.42506813101893,14.596689144871343,3.0783799271740384e-08,5.999939372083589,11.390452563146614,31.54133,44.02175727589027,46.663036055600294,89.5948186187469
NENG_ME,23.67300217183689,24.60677372255192,2.486877442851723e-05,5.997505935793758,149.17510031654908,74.02329,48.27977589438881,51.17538467972336,274.37377499627246
NENGREST,23.67300217183689,24.60677372255192,2.486877442851723e-05,5.012716046597781,149.17510031654908,74.02329,48.27977589438881,50.69993008328377,273.89832039983287
NENG_CT,23.67300217183689,24.60677372255192,2.486877442851723e-05,5.999342817289057,149.17510031654908,74.02329,48.27977589438881,51.176271522449554,274.37466183899863
MIS_IL,25.745213783554096,16.3288398812056,1.0585005464886039e-05,5.991807935838811,12.773857329382107,28.930539999999997,42.074053664759695,44.59506137041251,86.29945869979461
MIS_MO,25.745213783554096,16.3288398812056,1.0585005464886039e-05,4.021918865979004,12.773857329382107,28.930539999999997,42.074053664759695,43.76624897751059,85.4706463068927
S_D_AECI,25.745213783554096,16.3288398812056,1.0585005464886039e-05,4.002119387894254,12.773857329382107,28.930539999999997,42.074053664759695,43.757918532380096,85.4623158617622
MIS_INKY,25.745213783554096,16.3288398812056,1.0585005464886039e-05,6.934969928336487,12.773857329382107,28.930539999999997,42.074053664759695,44.991887953115345,86.69628528249746
MIS_LMI,26.157301389748312,15.501720791467386,6.0541481609317765e-06,6.0,19.33610929527018,35.980560000000004,41.6590221812157,44.15856992948569,99.47523922475587
MIS_AMSO,25.30840421928013,14.660944104533021,2.6653618695847314e-06,4.000998396305473,26.93265966378409,24.0929,39.96934832381315,41.56852408126562,92.59408374504972
MIS_WOTA,25.30840421928013,14.660944104533021,2.6653618695847314e-06,5.580680817643581,26.93265966378409,24.0929,39.96934832381315,42.199912892764544,93.22547255654864
MIS_LA,25.30840421928013,14.660944104533021,2.6653618695847314e-06,4.001116322800429,26.93265966378409,24.0929,39.96934832381315,41.5685712157203,92.59413087950439
MIS_AR,25.30840421928013,14.660944104533021,2.6653618695847314e-06,6.999694567213654,26.93265966378409,24.0929,39.96934832381315,42.76708347891486,93.79264314269896
MIS_D_MS,25.30840421928013,14.660944104533021,2.6653618695847314e-06,6.997826581,26.93265966378409,24.0929,39.96934832381315,42.7663368569487,93.79189652073279
MIS_MAPP,24.728047522398356,13.303738718780018,1.3079493999650593e-05,4.465840429711045,19.505161698142313,28.31759,38.031786241178374,39.73023879088153,87.55299048902384
MIS_WUMS,24.728047522398356,13.303738718780018,1.3079493999650593e-05,5.054869860375383,19.505161698142313,28.31759,38.031786241178374,39.954257281891486,87.7770089800338
MIS_MNWI,24.728047522398356,13.303738718780018,1.3079493999650593e-05,6.644518554,19.505161698142313,28.31759,38.031786241178374,40.5588292829545,88.38158098109682
MIS_IA,24.728047522398356,13.303738718780018,1.3079493999650593e-05,6.032170011065117,19.505161698142313,28.31759,38.031786241178374,40.325942113962434,88.14869381210475
MIS_MIDA,24.728047522398356,13.303738718780018,1.3079493999650593e-05,5.999735404,19.505161698142313,28.31759,38.031786241178374,40.313606649292986,88.1363583474353
WECC_PNW,27.293036644124268,12.827624205516212,4.2228102255662176e-06,4.562665031,17.011917758590958,33.93541,40.12066084964048,41.951236627916046,92.89856438650699
WECC_MT,27.293036644124268,12.827624205516212,4.2228102255662176e-06,0.000680218,17.011917758590958,33.93541,40.12066084964048,40.120937980436246,91.0682657390272
NY_Z_J,27.343227989537233,13.335334485485651,7.513506754893585,4.0,45.71829635782685,127.80903,40.678562475022886,50.11975199911313,223.64707835694
NY_Z_K,27.343227989537233,13.335334485485651,7.513506754893585,4.0,45.71829635782685,127.80903,40.678562475022886,50.11975199911313,223.64707835694
NY_Z_A,22.63471842059,7.101078615249876,11.93366434917453,4.0,83.60937158919053,61.28957,29.735797035839877,43.33623984041498,188.23518142960552
NY_Z_B,22.63471842059,7.101078615249876,11.93366434917453,4.0,83.60937158919053,61.28957,29.735797035839877,43.33623984041498,188.23518142960552
NY_Z_C&E,22.63471842059,7.101078615249876,11.93366434917453,4.000162783054087,83.60937158919053,61.28957,29.735797035839877,43.336307671236845,188.2352492604274
NY_Z_D,22.63471842059,7.101078615249876,11.93366434917453,4.000408810639405,83.60937158919053,61.28957,29.735797035839877,43.33641018960651,188.23535177879705
NY_Z_F,22.63471842059,7.101078615249876,11.93366434917453,4.001083899691043,83.60937158919053,61.28957,29.735797035839877,43.3366914955782,188.23563308476872
NY_Z_G-I,22.63471842059,7.101078615249876,11.93366434917453,4.005992072932316,83.60937158919053,61.28957,29.735797035839877,43.33873670493168,188.2376782941222
PJM_COMD,26.17234516591691,13.073683779377916,0.4059970301956027,6.000093063550203,14.323669852888187,31.19828,39.246028945294825,42.03118443560295,87.55313428849114
PJM_Dom,26.357408879203877,16.463062794306783,1.66044926653719,5.001209718757036,13.936941644606328,26.17129,42.82047167351066,46.70550508109416,86.8137367257005
PJM_WMAC,25.902618588913256,12.305687455395413,0.6696355962230329,6.000211152393088,71.31598340139345,51.36842,38.20830604430867,41.21070023066776,163.89510363206122
PJM_EMAC,25.902618588913256,12.305687455395413,0.6696355962230329,6.185994428162066,71.31598340139345,51.36842,38.20830604430867,41.28292894419909,163.96733234559255
PJM_SMAC,25.902618588913256,12.305687455395413,0.6696355962230329,5.999409959508189,71.31598340139345,51.36842,38.20830604430867,41.21038874336554,163.89479214475898
PJM_PENE,25.902618588913256,12.305687455395413,0.6696355962230329,5.997069438190592,71.31598340139345,51.36842,38.20830604430867,41.2094787968536,163.89388219824707
PJM_West,25.156730167968576,13.052156752732994,1.1706970024502705,5.561157928062762,16.776407619635282,32.83377,38.20888692070157,41.569544776532325,91.1797223961676
PJM_AP,25.156730167968576,13.052156752732994,1.1706970024502705,5.917177378219937,16.776407619635282,32.83377,38.20888692070157,41.70974375468971,91.31992137432499
PJM_ATSI,25.156730167968576,13.052156752732994,1.1706970024502705,6.000006183957234,16.776407619635282,32.83377,38.20888692070157,41.742361393757584,91.35253901339286
WECC_CO,24.108334749568588,13.096038775472465,1.2000329436203821e-05,3.000056298982848,18.639208592935645,31.6264,37.20437352504105,38.32053803682223,88.58614662975788
WECC_WY,24.108334749568588,13.096038775472465,1.2000329436203821e-05,4.009471224402866,18.639208592935645,31.6264,37.20437352504105,38.69608465722612,88.96169325016177
SPP_N,24.32669078064503,11.561351699504229,-5.893607501601296e-08,5.658537317256339,28.054746968186546,32.26433,35.88804248014926,37.91878069405032,98.23785766223688
SPP_WAUE,23.722992654371435,7.6308166430454465,-6.971517732272859e-08,4.483243329716188,15.785318889835017,25.73347,31.35380929741688,32.759476788514576,74.27826567834958
SPP_NEBR,23.722992654371435,7.6308166430454465,-6.971517732272859e-08,6.001916750585737,15.785318889835017,25.73347,31.35380929741688,33.235638755685834,74.75442764552085
SPP_WEST,23.441733714719796,6.296987519026988,-7.314425582333577e-08,5.398191878224379,31.254687470552565,30.61232,29.738721233746784,31.34407439098197,93.21108186153454
SPP_SPS,23.441733714719796,6.296987519026988,-7.314425582333577e-08,5.687060554278364,31.254687470552565,30.61232,29.738721233746784,31.429980241073988,93.29698771162656
S_VACA,29.13664724109765,14.568546811788865,7.18785781156647e-08,5.326642097283643,11.272134889702015,29.46702,43.70519405288651,46.03321339371437,86.77236828341638
S_SOU,29.349163718996433,16.666182983925633,5.5041665672257016e-08,4.224141281040543,13.695438189749309,29.27464,46.015346702922066,47.95910001598083,90.92917820573014
S_C_TVA,27.04750528509213,14.534899931083213,6.928153803815541e-08,6.429026987,11.39391293408208,20.48344,41.582405216175346,44.25574934310263,76.1331022771847
S_C_KY,27.04750528509213,14.534899931083213,6.928153803815541e-08,5.998518253773699,11.39391293408208,20.48344,41.582405216175346,44.076733456863174,75.95408639094525
WECC_IID,27.222500025770692,13.059516994502134,7.122548261642623e-06,6.999940337517891,25.543641469652293,32.883610000000004,40.282017020272825,43.101741799563115,101.52899326921542
WECC_AZ,27.222500025770692,13.059516994502134,7.122548261642623e-06,6.000279930954256,25.543641469652293,32.883610000000004,40.282017020272825,42.69905835324493,101.12630982289724
WECC_NM,27.222500025770692,13.059516994502134,7.122548261642623e-06,5.315947342437789,25.543641469652293,32.883610000000004,40.282017020272825,42.42339533472153,100.85064680437384
ERC_REST,23.189097083141228,12.069406699641634,1.4510909114522942e-08,5.999955717203583,23.493578194557468,17.486530000000002,35.25850378278286,37.373998411679935,78.35410660623741
ERC_PHDL,23.189097083141228,12.069406699641634,1.4510909114522942e-08,6.0,23.493578194557468,17.486530000000002,35.25850378278286,37.374014025131395,78.35412221968886
ERC_WEST,23.189097083141228,12.069406699641634,1.4510909114522942e-08,5.999581563196723,23.493578194557468,17.486530000000002,35.25850378278286,37.373866490575224,78.3539746851327
