State,Average Retail Price (cents/kWh)
Alabama,11.47
Alaska,21.41
Arizona,12.19
Arkansas,9.73
California,24.87
Colorado,11.76
Connecticut,24.24
Delaware,12.85
District of Columbia,16.5
Florida,13.53
Georgia,11.06
Hawaii,38.6
Idaho,9.08
Illinois,11.75
Indiana,11.49
Iowa,9.42
Kansas,10.8
Kentucky,9.96
Louisiana,8.91
Maine,20.84
Maryland,14.34
Massachusetts,23.21
Michigan,13.68
Minnesota,12.21
Mississippi,10.95
Missouri,10.87
Montana,10.97
Nebraska,9.14
Nevada,13.09
New Hampshire,22.96
New Jersey,15.27
New Mexico,9.47
New York,18.28
North Carolina,10.61
North Dakota,8.03
Ohio,11.04
Oklahoma,9.3
Oregon,10.32
Pennsylvania,12.57
Rhode Island,21.62
South Carolina,10.5
South Dakota,10.49
Tennessee,10.69
Texas,10.04
Utah,9.03
Vermont,17.53
Virginia,10.68
Washington,9.58
West Virginia,10.26
Wisconsin,12.72
Wyoming,8.39