utility_id_ferc1,utility_name_ferc1,utility_id_pudl,utility_id_pudl_label
1,missing respondent 0,6757,missing respondent 0
2,Blackstone Valley Electric Company,44,Blackstone Valley Electric Company
3,Boston Edison Company,45,Boston Edison Company
4,Cambridge Electric Light Company,50,Cambridge Electric Light Company
5,CANAL ELECTRIC COMPANY,51,CANAL ELECTRIC COMPANY
6,Central Illinois Light Company,56,Central Illinois Light Company
7,Central Illinois Public Service Company,57,Central Illinois Public Service Company
8,Century Power Corporation,60,Century Power Corporation
9,CITIZENS' ELECTRIC COMPANY,67,CITIZENS' ELECTRIC COMPANY
10,CITIZENS COMMUNCIATIONS COMPANY,64,CITIZENS COMMUNCIATIONS COMPANY
11,Commonwealth Electric Company,74,Commonwealth Electric Company
12,Connecticut Valley Electric Company Inc.,76,Connecticut Valley Electric Company Inc.
13,Eastern Edison Company,101,Eastern Edison Company
14,Edison Sault Electric Company,102,Edison Sault Electric Company
15,Exeter & Hampton Electric Company,116,Exeter & Hampton Electric Company
16,Great Bay Power Corporation,127,Great Bay Power Corporation
17,Holyoke Power and Electric Company,137,Holyoke Power and Electric Company
18,Holyoke Water Power Company,138,Holyoke Water Power Company
19,IES Utilities Inc.,141,IES Utilities Inc.
20,Illinois Power Company,142,Illinois Power Company
21,Interstate Power Company,151,Interstate Power Company
22,Iowa-Illinois Gas and Electric Company,152,Iowa-Illinois Gas and Electric Company
23,Kanawha Valley Power Company,157,Kanawha Valley Power Company
24,"Long Sault, Inc.",168,"Long Sault, Inc."
25,"MAUI ELECTRIC COMPANY, LIMITED",176,Maui Electric Co Ltd
26,Midwest Power Systems Inc.,189,Midwest Power Systems Inc.
27,"Montana Power Company, The",192,"Montana Power Company, The"
28,Montana-Dakota Utilities Company,178,"MDU Resources Group, Inc."
29,Montaup Electric Company,194,Montaup Electric Company
30,Nantahala Power and Light Company,201,Nantahala Power and Light Company
31,Newport Electric Corporation,215,Newport Electric Corporation
32,North Atlantic Energy Corporation,217,North Atlantic Energy Corporation
33,"Pepperell Power Association, Limited Partnership",254,"Pepperell Power Association, Limited Partnership"
34,St. Joseph Light & Power Company,304,St. Joseph Light & Power Company
35,Savannah Electric and Power Company,285,Savannah Electric and Power Company
36,"South Beloit Water, Gas and Electric Company",291,"South Beloit Water, Gas and Electric Company"
37,TXU SESCO Company,332,TXU SESCO Company
38,Susquehanna Electric Company,309,Susquehanna Electric Company
39,Terra Comfort Corporation,314,Terra Comfort Corporation
40,TXU Electric Company,331,TXU Electric Company
41,Texas-New Mexico Power Company,315,Texas-New Mexico Power Company
42,UNITIL Power Corp.,338,UNITIL Power Corp.
43,"Vermont Electric Transmission Company, Inc.",345,"Vermont Electric Transmission Company, Inc."
44,"Yadkin, Inc.",369,"Yadkin, Inc."
45,AROOSTOOK VALLEY ELECTRIC COMPANY,32,AROOSTOOK VALLEY ELECTRIC COMPANY
46,Big Rivers Electric Corporation,40,Big Rivers Electric Corp
47,"New Hampshire Electric Cooperative, Inc.",210,"New Hampshire Electric Cooperative, Inc."
48,Oconto Electric Cooperative,233,Oconto Electric Cooperative
49,Peoples Electric Cooperative,253,Peoples Electric Cooperative
50,"Rayburn Country Electric Cooperative, Inc.",278,"Rayburn Country Electric Cooperative, Inc."
51,W.F. Wyman Unit No. 4 Composite Data 100%,350,W.F. Wyman Unit No. 4 Composite Data 100%
52,Medina Power Company,179,Medina Power Company
53,"Black Creek Hydro, Inc.",41,Black Creek Hydro Inc
54,BeeBee Island Corporation,38,BeeBee Island Corporation
55,Moreau Manufacturing,196,Moreau Manufacturing
56,"Newcorp Resources Electric Cooperative, Inc.",214,"Newcorp Resources Electric Cooperative, Inc."
57,Connexus Energy,78,Connexus Energy
58,"Soyland Power Cooperative, Inc",303,"Soyland Power Cooperative, Inc"
59,missing respondent 223,6762,missing respondent 223
60,Village of Morrisville Water and Light Department,348,Village of Morrisville - (VT)
61,Inland Power & Light Company,147,Inland Power & Light Company
62,"Graham County Electric Cooperative, Inc.",126,"Graham County Electric Cooperative, Inc."
63,Berea College Utilities,39,Berea College Utilities
64,"Delta Natural Gas Company, Inc.",85,"Delta Natural Gas Company, Inc."
65,Duke Energy Moss Landing LLC,94,Duke Energy Moss Landing LLC
66,Duke Energy Oakland LLC,95,Duke Energy Oakland LLC
67,Trigen-Kansas City Energy Corporation,329,Trigen-Kansas City Energy Corporation
68,The Morenci Water & Electric Company,319,The Morenci Water & Electric Company
69,KeySpan Generation LLC,164,KeySpan Generation LLC
70,"Dixie-Escalante Rural Electric Association, Inc.",88,"Dixie-Escalante Rural Electric Association, Inc."
71,"Mt. Wheeler Power, Inc.",199,"Mt. Wheeler Power, Inc."
72,Amerada Hess Corporation,24,Amerada Hess Corporation
73,Smarr EMC,288,Smarr EMC
74,"Washington Electric Cooperative, Inc.",354,Washington Electric Coop - (VT)
75,"Vermont Electric Cooperative, Inc.",343,"Vermont Electric Cooperative, Inc."
76,Adirondack Hydro Development Corporation,5,Adirondack Hydro Development Corporation
77,"Carr Street Generating, L.P.",52,Carr Street Generating Sta LP
78,Wayne-White Counties Electric Cooperative,355,Wayne-White Counties Electric Cooperative
79,missing respondent 252,6763,missing respondent 252
80,missing respondent 253,6764,missing respondent 253
81,"Alfalfa Electric Cooperative, Inc.",22,"Alfalfa Electric Cooperative, Inc."
82,"North Central Missouri Electric Cooperative, Inc.",218,"North Central Missouri Electric Cooperative, Inc."
83,First Electric Cooperative Corporation,118,First Electric Cooperative Corporation
84,Platte-Clay Electric Cooperative Inc.,262,Platte-Clay Electric Cooperative Inc.
85,Northeast Generation Company,221,Northeast Generation Company
86,PSEG Power LLC,270,PSEG Power Connecticut LLC
87,PSEG Power New York Inc.,271,PSEG Power New York Inc
88,"Northern Maine Independent System Administrator, Inc",223,"Northern Maine Independent System Administrator, Inc"
89,Wellsboro Electric Company,357,Wellsboro Electric Company
90,PSEG Fossil LLC,268,PSEG Fossil LLC
91,Michigan Electric Transmission Company (04/02),181,Michigan Electric Transmission Company (04/02)
92,American Transmission Company LLC,27,American Transmission Company LLC
93,The Walton E.M.C.,323,The Walton E.M.C.
94,Wolf Creek Nuclear Operating Corporation,367,Wolf Creek Nuclear Optg Corp
95,Michigan Electric Transmission Company LLC (12/9/03),183,Michigan Electric Transmission Company LLC (12/9/03)
96,Talbot EMC,312,Talbot EMC
97,Citizens Electric Corporation,65,Citizens Electric Corporation
98,Clark Fork & Blackfoot LLC,68,Clark Fork & Blackfoot LLC
99,Chattahoochee EMC,61,Chattahoochee EMC
100,"Michigan Electric Transmission Company, LLC",184,"Michigan Electric Transmission Company, LLC"
101,"Cross Sound Cable Company, LLC",82,"Cross Sound Cable Company, LLC"
102,GRIDAMERICA LLC,129,GRIDAMERICA LLC
103,Southern Maryland Electric Cooperative,299,Southern Maryland Electric Cooperative
104,TransCanada Hydro NorthEast Inc.,327,"TransCanada Hydro Northeast Inc.,"
105,"Hawaii Electric Light Company, Inc.",134,Hawaii Electric Light Co Inc
106,"Mountainview Power Company, LLC",197,"Mountainview Power Company, LLC"
107,APS Energy Services Company,30,APS Energy Services Company
108,Pinnacle West Capital Corporation,257,Pinnacle West Capital Corporation
109,"Entergy Power Ventures, LP",111,"Entergy Power Ventures, LP"
110,"Warren Power, LLC",353,"Warren Power, LLC"
111,Pinnacle West Marketing & Trading Co. LLC,258,Pinnacle West Marketing & Trading Co. LLC
112,"Southeast Chicago Energy Project, LLC",294,"Southeast Chicago Energy Project, LLC"
113,Access Energy Cooperative,4,Access Energy Cooperative
114,AJO Improvement Company,17,AJO Improvement Company
115,"Bridger Valley Electric Association, Inc.",46,"Bridger Valley Electric Association, Inc."
116,Hagerstown Light Department,131,Hagerstown Light Department
117,Dixie-Escalante Rural Electric Association,87,Dixie-Escalante Rural Electric Association
118,"Fall River Electric Cooperative, Inc",117,Fall River Rural Elec Coop Inc
119,"Florida Keys Electric Cooperative Assoc., Inc.",120,"Florida Keys El Coop Assn, Inc"
120,"Flowell Electric Association, Inc.",122,"Flowell Electric Association, Inc."
121,Harney Electric Cooperative,133,Harney Electric Cooperative
122,Idaho County Light & Power Coop. Assoc. Inc.,139,Idaho County Light & Power Coop. Assoc. Inc.
123,Kandiyohi  Power Cooperative,158,Kandiyohi  Power Cooperative
124,Lyon Rural Electric Cooperative,170,Lyon Rural Electric Cooperative
125,McDonough Power Cooperative,177,McDonough Power Cooperative
126,"Moon Lake Electric Association, Inc.",195,Moon Lake Electric Assn Inc
127,"Mt. Wheeler Power, Inc.",200,"Mt. Wheeler Power, Inc."
128,North West Rural Electric Cooperative,220,North West Rural Electric Cooperative
129,"Oregon Trail Electric Consumers Coop, Inc.",242,"Oregon Trail Electric Consumers Coop, Inc."
130,Penoyer Valley Electric Company,252,Penoyer Valley Electric Company
131,"{Test 423 (do not use) Sharyland Utilities, L.P.)}",1,"{Test 423 (do not use) Sharyland Utilities, L.P.)}"
132,Somerset Rural Electric Cooperative Inc.,290,Somerset Rural Electric Cooperative Inc.
133,Southern California Water Company,296,Southern California Water Company
134,Sun River Electric Cooperative,307,Sun River Electric Cooperative
135,Sussex Rural Electric Cooperative,310,Sussex Rural Electric Cooperative
136,"United Power, Inc.",335,"United Power, Inc"
137,"White River Electric Association, Inc.",362,"White River Electric Association, Inc."
138,"Salmon River Electric Cooperative, Inc.",283,"Salmon River Electric Cooperative, Inc."
139,Beacon Power Corporation,37,Beacon Power LLC
140,"Verde Energy USA, Inc.",342,"Verde Energy USA, Inc."
141,"RITELine Illinois, LLC",279,"RITELine Illinois, LLC"
142,"cross texas transmission, llc",13688,"cross texas transmission, llc"
143,oncor electric delivery company ntu llc,13689,oncor electric delivery company ntu llc
144,"taylor creek solar, llc",7745,Taylor Creek Solar LLC
145,"harmony florida solar, llc",7746,Harmony Florida Solar LLC
146,missing respondent 900,6778,missing respondent 900
147,{Test Company - B1},3,{Test Company - B1}
148,{Test Company - A},2,{Test Company - A}
149,missing respondent 1000,6779,missing respondent 1000
150,missing respondent 1001,6780,missing respondent 1001
151,missing respondent 1003,6781,missing respondent 1003
152,ISO New England Inc.,153,ISO New England Inc.
153,"PJM Interconnection, LLC",260,"PJM Interconnection, LLC"
154,New York Independent System Operator,212,New York Independent System Operator
155,Southern California Edison Company,295,Southern California Edison Co
156,"Wabash Valley Power Association, Inc.",352,"Wabash Valley Power Assn, Inc"
157,Tampa Electric Company,313,Tampa Electric Co
158,Emera Maine,105,Emera Maine
159,"Consolidated Edison Company of New York, Inc.",79,Consolidated Edison Co-NY Inc
160,"Duke Energy Progress, Inc.",97,Duke Energy Progress - (NC)
161,"Duke Energy Florida, Inc.",91,"Duke Energy Florida, Inc"
162,"Puget Sound Energy, Inc.",277,Puget Sound Energy Inc
163,Consumers Energy Company,81,Consumers Energy Co
164,VIRGINIA ELECTRIC AND POWER COMPANY,349,Virginia Electric & Power Co
165,Commonwealth Edison Company,72,Commonwealth Edison Company
166,"Commonwealth Edison Company of Indiana, Inc.",73,"Commonwealth Edison Company of Indiana, Inc."
167,PECO Energy Company,249,PECO Energy Company
168,South Carolina Electric & Gas Company,292,South Carolina Electric&Gas Company
169,"Duke Energy Indiana, Inc.",92,"Duke Energy Indiana, LLC"
170,"Duke Energy Carolinas, LLC",90,"Duke Energy Carolinas, LLC"
171,"Duke Energy Kentucky, Inc.",93,Duke Energy Kentucky Inc
172,"Duke Energy Ohio, Inc.",96,Duke Energy Ohio Inc
173,Jersey Central Power & Light Company,156,Jersey Central Power & Lt Co
174,Ohio Edison Company,234,Ohio Edison Company
175,"Cleveland Electric Illuminating Company, The",70,"Cleveland Electric Illuminating Company, The"
176,"Toledo Edison Company, The",324,"Toledo Edison Company, The"
177,Pennsylvania Power Company,251,Pennsylvania Power Company
178,Pennsylvania Electric Company,250,Pennsylvania Electric Company
179,Metropolitan Edison Company,180,Metropolitan Edison Company
180,"American Transmission Systems, Incorporated",28,"American Transmission Systems, Incorporated"
181,"Wabash Valley Energy Marketing, Inc.",351,"Wabash Valley Energy Marketing, Inc."
182,Avista Corporation,35,Avista Corp
183,PACIFIC GAS AND ELECTRIC COMPANY,244,Pacific Gas & Electric Co
184,DTE Electric Company,89,DTE Electric Company
185,Cleco Power LLC,69,Cleco Power LLC
186,El Paso Electric Company,103,El Paso Electric Co
187,Wisconsin Public Service Corporation,365,Wisconsin Public Service Corp
188,Upper Peninsula Power Company,340,Upper Peninsula Power Company
189,Wisconsin River Power Company,366,Wisconsin River Power Company
190,"Orange and Rockland Utilities, Inc",241,"Orange and Rockland Utilities, Inc"
191,Rockland Electric Company,281,Rockland Electric Company
192,"AEP Indiana Michigan Transmission Company, Inc.",9,"AEP Indiana Michigan Transmission Company, Inc."
193,"AEP Kentucky Transmission Company, Inc.",10,"AEP Kentucky Transmission Company, Inc."
194,"AEP Ohio Transmission Company, Inc.",11,"AEP Ohio Transmission Company, Inc."
195,"AEP Oklahoma Transmission Company, Inc.",12,"AEP Oklahoma Transmission Company, Inc."
196,"AEP Southwestern Transmission Company, Inc.",13,"AEP Southwestern Transmission Company, Inc."
197,"AEP West Virginia Transmission Company, Inc.",16,"AEP West Virginia Transmission Company, Inc."
198,AEP Texas Central Company,14,AEP Texas Central Company
199,AEP Texas North Company,15,AEP Texas North Company
200,Appalachian Power Company,29,Appalachian Power Co
201,Indiana Michigan Power Company,144,Indiana Michigan Power Co
202,Kentucky Power Company,162,Kentucky Power Co
203,Kingsport Power Company,165,Kingsport Power Company
204,Ohio Power Company,235,Ohio Power Company
205,Public Service Company of Oklahoma,275,Public Service Co of Oklahoma
206,Southwestern Electric Power Company,301,Southwestern Electric Power Co
207,Wheeling Power Company,361,Wheeling Power Company
208,Northern Indiana Public Service Company,222,Northern Indiana Pub Serv Co
209,Louisville Gas and Electric Company,169,Louisville Gas & Electric Co
210,Kentucky Utilities Company,163,Kentucky Utilities Co
211,The Dayton Power and Light Company,317,Dayton Power & Light Co
212,Central Maine Power Company,58,Central Maine Power Company
213,"Maine Electric Power Company, Inc.",172,"Maine Electric Power Company, Inc."
214,Rochester Gas and Electric Corporation,280,Rochester Gas & Electric Corp
215,New York State Electric & Gas Corporation,213,New York State Elec & Gas Corp
216,Idaho Power Company,140,Idaho Power Co
217,Ohio Valley Electric Corporation,236,Ohio Valley Electric Corp
218,San Diego Gas & Electric Company,284,San Diego Gas & Electric Co
219,Wisconsin Power and Light Company,364,Wisconsin Power & Light Co
220,Interstate Power and Light Company,150,Interstate Power and Light Co
221,UNION ELECTRIC COMPANY,334,Union Electric Co - (MO)
222,Ameren Illinois Company,25,Ameren Illinois
223,Illinois Power Generating Company,143,Illinois Power Generating Co
224,"Southwest Power Pool, Inc.",300,"Southwest Power Pool, Inc."
225,"Westar Energy, Inc.",359,Westar Energy Inc
226,"Entergy Arkansas, Inc.",106,Entergy Arkansas Inc
227,Public Service Company of Colorado,272,Public Service Co of Colorado
228,Northern States Power Company (Wisconsin),225,Northern States Power Company (Wisconsin)
229,Northern States Power Company (Minnesota),224,Northern States Power Co - Minnesota
230,Southwestern Public Service Company,302,Southwestern Public Service Co
231,"Entergy Gulf States Louisiana, L.L.C.",107,Entergy Louisiana LLC
233,"entergy new orleans, llc",110,Entergy New Orleans Inc
234,"Entergy Texas, Inc.",113,Entergy Texas Inc.
235,"System Energy Resources, Inc.",311,"System Energy Resources, Inc"
236,"EWO Marketing, LLC",115,"EWO Marketing, LLC"
237,WEST PENN POWER COMPANY,358,WEST PENN POWER COMPANY
238,MONONGAHELA POWER COMPANY,191,Monongahela Power Co
239,THE ALLEGHENY GENERATING COMPANY,316,THE ALLEGHENY GENERATING COMPANY
240,THE POTOMAC EDISON COMPANY,321,THE POTOMAC EDISON COMPANY
241,"luning energy holdings llc, invenergy investments (pudl determined)",5516,"luning energy holdings llc, invenergy investments (pudl determined)"
242,Southern Indiana Gas and Electric Company,298,Southern Indiana Gas & Elec Co
243,"Connecticut Light and Power Company, The",75,"Connecticut Light and Power Company, The"
244,Public Service Company of New Hampshire,273,Public Service Co of NH
245,Western Massachusetts Electric Company,360,Western Massachusetts Electric Company
246,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,55,Central Hudson Gas & Elec Corp
247,Florida Power & Light Company,121,Florida Power & Light Co
248,Baltimore Gas and Electric Company,36,Baltimore Gas and Electric Company
249,The Empire District Electric Company,318,Empire District Electric Co
250,Portland General Electric Company,263,Portland General Electric Co
251,MidAmerican Energy Company,185,MidAmerican Energy Co
252,Lockhart Power Company,167,Lockhart Power Co
253,Hardee Power Partners Limited,132,Hardee Power Partners Limited
254,Kansas City Power & Light Company,159,Kansas City Power & Light Co
255,KCP&L Greater Missouri Operations Company,161,KCP&L Greater Missouri Operations Co
256,California Independent System Operator Corporation,48,California Independent System Operator Corporation
257,Tucson Electric Power Company,330,Tucson Electric Power Co
258,"UNS Electric, Inc.",339,"UNS Electric, Inc"
259,"Wolverine Power Supply Cooperative, Inc.",368,Wolverine Power Supply Coop
260,Public Service Electric and Gas Company,276,Public Service Elec & Gas Co
261,PSEG Energy Resources & Trade LLC,267,PSEG Energy Resources & Trade LLC
262,PSEG Nuclear LLC,269,PSEG Nuclear LLC
263,Public Service Company of New Mexico,274,Public Service Co of NM
264,Fitchburg Gas and Electric Light Company,119,Fitchburg Gas and Electric Light Company
265,"Unitil Energy Systems, Inc.",336,"Unitil Energy Systems, Inc."
266,Golden State Water Company,125,Golden State Water Company
267,PPL Electric Utilities Corporation,265,PPL Electric Utilities Corporation
268,Deseret Generation & Transmission Cooperative,86,Deseret Generation & Tran Coop
269,UNITIL Power Corp.,337,UNITIL Power Corp.
270,Vermont Transco LLC,346,Vermont Transco LLC
271,NSTAR Electric Company,230,NSTAR Electric Company
272,Otter Tail Power Company,243,Otter Tail Power Co
273,"Golden Spread Electric Cooperative, Inc.",124,"Golden Spread Electric Cooperative, Inc"
274,New England Power Company,209,New England Power Company
275,Niagara Mohawk Power Corporation,216,Niagara Mohawk Power Corporation
276,Liberty Utilities (Granite State Electric) Corp.,166,Liberty Utilities (Granite State Electric) Corp.
277,Massachusetts Electric Company,175,Massachusetts Electric Co
278,The Narragansett Electric Company,320,The Narragansett Electric Company
279,Indianapolis Power & Light Company,146,Indianapolis Power & Light Co
280,Wisconsin Electric Power Company,363,Wisconsin Electric Power Co
281,National Grid Generation LLC,203,National Grid Generation LLC
282,Alcoa Power Generating Inc.,21,Alcoa Power Generating Inc Yadkin Div
283,"Midcontinent Independent System Operator, Inc",186,"Midcontinent Independent System Operator, Inc"
284,Duquesne Light Company,98,Duquesne Light Company
285,"Black Hills Power, Inc.",42,"Black Hills Power, Inc. d/b/a"
286,Arizona Public Service Company,31,Arizona Public Service Co
287,Old Dominion Electric Cooperative,238,Old Dominion Electric Coop
288,Vermont Yankee Nuclear Power Corporation,347,Vermont Yankee Nuclear Power Corporation
289,"Cheyenne Light, Fuel and Power Company",62,"Cheyenne Light, Fuel and Power Company"
290,Potomac Electric Power Company,264,Potomac Electric Power Company
291,Delmarva Power & Light Company,84,Delmarva Power & Light Company
292,Atlantic City Electric Company,33,Atlantic City Electric Company
293,Oncor Electric Delivery Company LLC,240,Oncor Electric Delivery Company LLC
294,ALABAMA POWER COMPANY,18,Alabama Power Co
295,Georgia Power Company,123,Georgia Power Co
296,Gulf Power Company,130,Gulf Power Co
297,Mississippi Power Company,190,Mississippi Power Co
298,SOUTHERN ELECTRIC GENERATING COMPANY,297,SOUTHERN ELECTRIC GENERATING COMPANY
299,The United Illuminating Company,322,United Illuminating Co
300,Sierra Pacific Power Company d/b/a NV Energy,287,Sierra Pacific Power Co
301,"Nevada Power Company, d/b/a NV Energy",204,Nevada Power Co
302,Maine Public Service Company,173,Maine Public Service Company
303,PacifiCorp,246,PacifiCorp
304,New England Electric Transmission Corporation,206,New England Electric Transmission Corporation
305,New England Hydro-Transmission Corporation,208,New England Hydro-Transmission Corporation
306,"New England Hydro-Trans. Elec. Co., Inc.",207,"New England Hydro-Trans. Elec. Co., Inc."
307,"ALLETE, Inc.",23,"ALLETE, Inc."
308,"Vermont Electric Power Company, Inc.",344,"Vermont Electric Power Company, Inc."
309,"Black Hills/Colorado Electric Utility Company, LP",43,Black Hills/Colorado Elec.Util
310,"AEP Appalachian Transmission Company, Inc.",6,"AEP Appalachian Transmission Company, Inc."
311,Safe Harbor Water Power Corporation,282,Safe Harbor
312,Consolidated Water Power Company,80,Consolidated Water Power Co
313,Green Mountain Power Corp,128,Green Mountain Power Corp
314,Oklahoma Gas and Electric Company,237,Oklahoma Gas & Electric Co
315,NorthWestern Corporation,226,NorthWestern Energy
316,Ocean State Power,231,Ocean State Power Co
317,"Ocean State Power, II",232,Ocean State Power II
318,"CenterPoint Energy Houston Electric, LLC",54,"CenterPoint Energy Houston Electric, LLC"
319,"MDU Resources Group, Inc.",178,"MDU Resources Group, Inc."
320,"Startrans IO, LLC",305,"Startrans IO, LLC"
321,"Electric Energy, Inc.",104,Electric Energy Inc
322,"DATC Path 15, LLC",83,"DATC Path 15, LLC"
323,"UGI Utilities, Inc.",333,"UGI Utilities, Inc."
324,Michigan Electric Transmission Company LLC (10/06),182,Michigan Electric Transmission Company LLC (10/06)
325,California Power Exchange Corporation,49,California Power Exchange Corporation
326,Connecticut Yankee Atomic Power Company,77,Connecticut Yankee Atomic Power Company
327,Yankee Atomic Electric Company,370,Yankee Atomic Electric Company
328,Ameren Transmission Company of Illinois,26,Ameren Transmission Company of Illinois
329,Pacific Northwest Generating Cooperative,245,Pacific Northwest Generating Coop
330,Trans Bay Cable LLC,325,Trans Bay Cable LLC
331,"pioneer transmission, llc",6773,Trans-Allegheny Interstate Line Company
332,"Prairie Wind Transmission, LLC",266,"Prairie Wind Transmission, LLC"
333,International Transmission Company,148,International Transmission Company
334,"Buckeye Power, Inc.",47,"Buckeye Power, Inc"
335,Madison Gas and Electric Company,171,Madison Gas & Electric Co
336,"EAM Nelson Holding, LLC",99,"EAM Nelson Holding, LLC"
337,ITC Midwest LLC,155,ITC Midwest LLC
338,"Path Allegheny Transmission Company, LLC",247,"Path Allegheny Transmission Company, LLC"
339,Citizens Sunrise Transmission LLC.,66,Citizens Sunrise Transmission LLC.
340,AEP Generation Resources Inc.,8,AEP Generation Resources Inc
341,"ITC Great Plains, LLC",154,"ITC Great Plains, LLC"
342,AEP Generating Company,7,AEP Generating Company
343,"Transource Missouri, LLC",328,"Transource Missouri, LLC"
344,Smoky Mountain Transmission LLC,289,Smoky Mountain Transmission LLC
345,"Hermiston Generating Company, L.P.",136,Hermiston Generating Co LP
346,Valley Electric Association Inc.,341,Valley Electric Association Inc.
347,Wells Rural Electric Company,356,Wells Rural Electric Company
348,"Westar Generating, Inc.",359,Westar Energy Inc
349,Alcoa Generating Corporation,20,Alcoa Generating Corporation
350,Maine Yankee Atomic Power Company,174,Maine Yankee Atomic Power Company
351,"South Carolina Generating Company, Inc.",293,"South Carolina Genertg Co, Inc"
352,"New Hampshire Transmission, LLC",211,"New Hampshire Transmission, LLC"
353,tri-state generation and transmission association (pudl determined),3514,"Tri-State G & T Assn, Inc"
354,basin electric power cooperative (pudl determined),582,Basin Electric Power Coop
355,missing respondent 527,6774,missing respondent 527
356,"evergy kansas south, inc.",160,Kansas Gas & Electric Co
357,Nevada Sun-Peak Limited Partnership,205,Nevada Sun-Peak Limited Partnership
358,"Transource West Virginia, LLC",4838,"Transource West Virginia, LLC"
359,"horizon west transmission, llc",13691,"horizon west transmission, llc"
360,"Midwest Electric Power, Inc",187,Midwest Electric Power Inc
361,ITC Interconnection LLC,4839,ITC Interconnection LLC
362,"Entergy Louisiana, LLC",107,Entergy Louisiana LLC
363,"silver run electric, llc",13692,"silver run electric, llc"
364,South Central MCN LLC,4840,South Central MCN LLC
365,"4C Acquisition, Llc",4837,"4C Acquisition, Llc"
366,"NextEra Energy Transmission New York, Inc.",14135,"NextEra Energy Transmission New York, Inc."
367,"nextera energy transmission midatlantic indiana, inc.",13696,"nextera energy transmission midatlantic indiana, inc."
368,upper michigan energy resources company (pudl determined),5515,upper michigan energy resources company (pudl determined)
369,"desertlink, llc",13695,"desertlink, llc"
370,missing respondent 516,6767,missing respondent 516
371,missing respondent 518,6769,missing respondent 518
372,aep texas (pudl determined),5514,aep texas (pudl determined)
373,"transource pennsylvania, llc",6771,missing respondent 520
374,"transource maryland, llc",6772,missing respondent 521
375,missing respondent 517,6768,missing respondent 517
376,"new york transco, llc",6766,missing respondent 515
377,Trans-Allegheny Interstate Line Company,6773,Trans-Allegheny Interstate Line Company
378,Trans-Allegheny Interstate Line Company,326,Trans-Allegheny Interstate Line Company
379,York Haven Power Company,371,York Haven Power Company LLC
380,missing respondent 528,6775,missing respondent 528
382,"entergy mississippi, llc",109,Entergy Mississippi Inc
383,gridliance heartland llc,13690,gridliance heartland llc
384,missing respondent 542,13699,missing respondent 542
385,"republic transmission, llc",13693,"republic transmission, llc"
386,"upper missouri g & t electric cooperative, inc. dba upper missouri poe",12092,upper missouri g&t el coop inc
387,"mckenzie electric cooperative, inc.",11020,mckenzie electric coop inc
388,"wilderness line holdings, llc",13697,"wilderness line holdings, llc"
389,"bear valley electric service, inc.",13694,"bear valley electric service, inc."
390,LS Power Grid New York Corporation I,14136,LS Power Grid New York Corporation I
393,"Chugach Electric Association, Inc.",63,Chugach Electric Assn Inc
394,Alaska Electric Light and Power Company,19,Alaska Electric Light&Power Co
395,"Superior Water, Light and Power Company",308,"Superior Water, Light and Power Company"
396,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,55,Central Hudson Gas & Elec Corp
397,Mt. Carmel Public Utility Co,198,Mt. Carmel Public Utility Co
398,"Path West Virginia Transmission Company, L.L.C.",248,"Path West Virginia Transmission Company, L.L.C."
399,Northwestern Wisconsin Electric Company,229,Northwestern Wisconsin Elec Co
400,"Hawaiian Electric Company, Inc.",135,Hawaiian Electric Co Inc
401,Midwest Energy Inc.,188,Midwest Energy Inc
402,"East Texas Electric Cooperative, Inc.",100,"East Texas Electric Coop, Inc"
404,Catalyst Old River Hydroelectric Limited Partnership,53,Catalyst Old River Hydroelectric Limited Partnership
405,Central Vermont Public Service Corporation,59,Central Vermont Public Service Corporation
406,Columbus Southern Power Company,71,Columbus Southern Power Company
408,"Entergy Power, LLC",112,"Entergy Power, LLC"
409,Indiana-Kentucky Electric Corporation,145,Indiana-Kentucky Electric Corp
411,"Entergy Louisiana, LLC",107,Entergy Louisiana LLC
414,Pioneer Power and Light Company,259,Pioneer Power and Light Company
419,"Sharyland Utilities, L.P.",286,"Sharyland Utilities, L.P."
420,"Perryville Energy Partners, L.L.C",255,"Perryville Energy Partners, L.L.C"
421,Attala Transmission LLC,34,Attala Transmission LLC
426,Nantucket Electric Company,202,Nantucket Electric Co
427,"North Central Power Co., Inc.",219,North Central Power Co Inc
428,"Omya, Inc.",239,Omya Inc
429,Pike County Light and Power Company,256,Pike County Light and Power Company
436,SU FERC L.L.C,306,SU FERC L.L.C
439,missing respondent 515,6766,missing respondent 515
440,missing respondent 520,6771,missing respondent 520
441,missing respondent 521,6772,missing respondent 521
442,International Transmission Company,148,International Transmission Company
443,morongo transmission llc,14137,morongo transmission llc
444,indiana-kentucky electric corporation,14138,indiana-kentucky electric corporation
445,"PJM Settlement, Inc.",261,"PJM Settlement, Inc."
446,"Transource Oklahoma, LLC",15871,"Transource Oklahoma, LLC"
447,Mountrail-Williams Electric Cooperative,15872,Mountrail-Williams Electric Cooperative
